region,rank,richness,avg_QDS_richness,avg_QDS_turnover,threeQDS_cell_no,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,roughness_Elevation,roughness_MAP,roughness_PDQ,roughness_Surface_T,roughness_NDVI,roughness_CEC,roughness_Clay,roughness_Soil_C,roughness_pH,rank,richness,avg_QDS_richness,avg_QDS_turnover,threeQDS_cell_no,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,roughness_Elevation,roughness_MAP,roughness_PDQ,roughness_Surface_T,roughness_NDVI,roughness_CEC,roughness_Clay,roughness_Soil_C,roughness_pH,rank,richness,avg_QDS_richness,avg_QDS_turnover,threeQDS_cell_no,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,roughness_Elevation,roughness_MAP,roughness_PDQ,roughness_Surface_T,roughness_NDVI,roughness_CEC,roughness_Clay,roughness_Soil_C,roughness_pH
GCFR,species,861,382.3333333333333,0.8609889130350166,cell_42,336.08870380878096,100.46696573368871,9.573055803040361,305.76300549591093,18320094.805696532,6.700881231678056,10.199237088532028,31.856434626862562,69.82170762044349,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,301,382.3333333333333,0.6561544621415721,cell_42,336.08870380878096,100.46696573368871,9.573055803040361,305.76300549591093,18320094.805696532,6.700881231678056,10.199237088532028,31.856434626862562,69.82170762044349,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,72,382.3333333333333,0.46615212265673794,cell_42,336.08870380878096,100.46696573368871,9.573055803040361,305.76300549591093,18320094.805696532,6.700881231678056,10.199237088532028,31.856434626862562,69.82170762044349,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1475,787.6666666666666,0.8470280927921393,cell_63,523.2721096316151,155.63907297895332,13.581409211391348,304.95962218472926,20020014.423660994,8.87719618389041,12.825101525648584,35.39494936683738,70.07829620394494,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,390,787.6666666666666,0.6257029037844933,cell_63,523.2721096316151,155.63907297895332,13.581409211391348,304.95962218472926,20020014.423660994,8.87719618389041,12.825101525648584,35.39494936683738,70.07829620394494,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,81,787.6666666666666,0.411417483444576,cell_63,523.2721096316151,155.63907297895332,13.581409211391348,304.95962218472926,20020014.423660994,8.87719618389041,12.825101525648584,35.39494936683738,70.07829620394494,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1337,705.625,0.8311473127790242,cell_83,332.70266187206295,184.6213473827858,16.506735631418163,304.35038213817006,23252881.389319394,8.951637219163812,15.771676211257603,36.50557370441865,67.24161046457488,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,369,705.625,0.5809628542798351,cell_83,332.70266187206295,184.6213473827858,16.506735631418163,304.35038213817006,23252881.389319394,8.951637219163812,15.771676211257603,36.50557370441865,67.24161046457488,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,83,705.625,0.43337593937730545,cell_83,332.70266187206295,184.6213473827858,16.506735631418163,304.35038213817006,23252881.389319394,8.951637219163812,15.771676211257603,36.50557370441865,67.24161046457488,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1114,431.85714285714283,0.9255368622518262,cell_84,734.2019735231588,187.49946487496436,17.6653708963513,304.15921812366287,20388054.935125478,9.225539447390855,17.382665942142523,38.93990221611328,68.79822110269843,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,372,431.85714285714283,0.7150017536797496,cell_84,734.2019735231588,187.49946487496436,17.6653708963513,304.15921812366287,20388054.935125478,9.225539447390855,17.382665942142523,38.93990221611328,68.79822110269843,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,87,431.85714285714283,0.5191874612370334,cell_84,734.2019735231588,187.49946487496436,17.6653708963513,304.15921812366287,20388054.935125478,9.225539447390855,17.382665942142523,38.93990221611328,68.79822110269843,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,215,57.5,0.9685252094897286,cell_85,814.1924775802604,162.58744074545345,23.088156529353622,305.6587470400354,15159975.401710916,9.882579829829798,19.380439294930568,29.39161768309258,72.8615357301269,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,136,57.5,0.9109497935154502,cell_85,814.1924775802604,162.58744074545345,23.088156529353622,305.6587470400354,15159975.401710916,9.882579829829798,19.380439294930568,29.39161768309258,72.8615357301269,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,39,57.5,0.7309475532616904,cell_85,814.1924775802604,162.58744074545345,23.088156529353622,305.6587470400354,15159975.401710916,9.882579829829798,19.380439294930568,29.39161768309258,72.8615357301269,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1022,345.6666666666667,0.9232594729175473,cell_104,352.6616336034408,178.31407958431828,16.203038525859334,304.41438565205135,22632228.68185806,8.431382924515495,18.27541826881645,38.37149374457074,67.76334600155646,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,305,345.6666666666667,0.7396108371588836,cell_104,352.6616336034408,178.31407958431828,16.203038525859334,304.41438565205135,22632228.68185806,8.431382924515495,18.27541826881645,38.37149374457074,67.76334600155646,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,71,345.6666666666667,0.5665483409164088,cell_104,352.6616336034408,178.31407958431828,16.203038525859334,304.41438565205135,22632228.68185806,8.431382924515495,18.27541826881645,38.37149374457074,67.76334600155646,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1680,709.8888888888889,0.9383053015896763,cell_105,600.0008884843337,190.29266584723308,19.361431372725576,305.06023804315544,20412527.153053463,10.687008331004728,21.067237852987653,43.57080822478376,69.30302222340065,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,453,709.8888888888889,0.7760763453636872,cell_105,600.0008884843337,190.29266584723308,19.361431372725576,305.06023804315544,20412527.153053463,10.687008331004728,21.067237852987653,43.57080822478376,69.30302222340065,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,94,709.8888888888889,0.5863650956020914,cell_105,600.0008884843337,190.29266584723308,19.361431372725576,305.06023804315544,20412527.153053463,10.687008331004728,21.067237852987653,43.57080822478376,69.30302222340065,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,794,408,0.9338156985633536,cell_106,967.7660414548965,184.35719432196646,26.88473240647997,304.7225251227577,17596526.914204005,13.077082127965852,23.185654851599523,47.65614726829494,68.92963786675583,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,300,408,0.8205904557356246,cell_106,967.7660414548965,184.35719432196646,26.88473240647997,304.7225251227577,17596526.914204005,13.077082127965852,23.185654851599523,47.65614726829494,68.92963786675583,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,69,408,0.6194396959345211,cell_106,967.7660414548965,184.35719432196646,26.88473240647997,304.7225251227577,17596526.914204005,13.077082127965852,23.185654851599523,47.65614726829494,68.92963786675583,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1616,915.1666666666666,0.8779823017977997,cell_124,211.8423564063659,224.98629512940337,21.41425383526437,302.9304694783418,27607767.593375843,8.494509393485053,18.870888252234845,44.43919881704774,64.02853020670868,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,417,915.1666666666666,0.6365577776251488,cell_124,211.8423564063659,224.98629512940337,21.41425383526437,302.9304694783418,27607767.593375843,8.494509393485053,18.870888252234845,44.43919881704774,64.02853020670868,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,85,915.1666666666666,0.447437401669136,cell_124,211.8423564063659,224.98629512940337,21.41425383526437,302.9304694783418,27607767.593375843,8.494509393485053,18.870888252234845,44.43919881704774,64.02853020670868,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,2531,1361.5555555555557,0.8753533936999166,cell_125,478.54584249874273,223.61686007487447,18.74780443184657,303.0573958404986,24986324.89521596,11.123212877977632,20.844386128177675,52.870954512083216,66.40122217622229,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,550,1361.5555555555557,0.6384536010356672,cell_125,478.54584249874273,223.61686007487447,18.74780443184657,303.0573958404986,24986324.89521596,11.123212877977632,20.844386128177675,52.870954512083216,66.40122217622229,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,112,1361.5555555555557,0.4457875720440861,cell_125,478.54584249874273,223.61686007487447,18.74780443184657,303.0573958404986,24986324.89521596,11.123212877977632,20.844386128177675,52.870954512083216,66.40122217622229,NA,NA,NA,NA,NA,NA,NA,NA,NA
